unit	sex	age	geo	Y2007	Y2008	Y2009	Y2010	Y2011	Y2012	Y2013	Y2014	Y2015	Y2016	Y2017	Y2018
PC	F	Y15-64	AT_11	64.0	64.2	64.7	64.8	64.5	64.8	64.9	64.7	64.9	65.9	66.4	66.6
PC	F	Y15-64	AT_12	65.3	66.6	66.7	66.9	67.4	68.1	67.6	68.4	69.2	69.2	70.5	70.3
PC	F	Y15-64	AT_13	59.7	61.1	61.8	62.0	62.4	62.5	63.0	62.1	62.0	62.6	62.4	63.0
PC	F	Y15-64	AT_21	60.2	61.6	62.2	62.9	63.1	64.1	64.8	65.3	64.7	65.1	66.3	67.0
PC	F	Y15-64	AT_22	63.2	64.8	64.9	65.9	66.3	65.6	66.1	66.3	66.6	67.3	68.7	69.0
PC	F	Y15-64	AT_31	65.9	67.5	67.2	68.3	68.8	70.0	69.4	70.1	70.1	70.8	71.1	71.0
PC	F	Y15-64	AT_32	66.6	67.1	68.2	67.8	68.8	70.2	70.9	69.4	70.0	71.6	71.5	72.9
PC	F	Y15-64	AT_33	64.8	66.1	67.1	67.4	67.3	68.6	69.7	69.9	69.5	69.8	69.8	71.4
PC	F	Y15-64	AT_34	63.0	64.1	65.2	65.4	65.6	67.3	68.2	69.4	69.6	71.2	70.4	71.1
PC	F	Y15-64	BE_10	48.3	48.4	49.3	48.7	48.6	48.6	48.5	49.8	49.2	50.3	50.5	52.4
PC	F	Y15-64	BE_21	57.8	58.6	57.4	59.4	57.9	57.8	58.8	59.2	61.0	58.9	60.0	63.2
PC	F	Y15-64	BE_22	55.6	57.4	58.7	58.8	59.6	59.0	59.2	60.3	59.8	59.8	62.5	64.8
PC	F	Y15-64	BE_23	60.6	63.2	62.7	62.9	63.5	62.5	63.9	64.0	64.8	64.5	63.6	67.1
PC	F	Y15-64	BE_24	63.1	63.3	63.3	63.2	63.4	64.2	63.7	65.0	64.1	64.8	64.6	67.4
